name,description,stars,forks,open_issues,language,created,updated,size_mb,private,url,watchers,topics
ML_Archive,No description,0,0,0,Jupyter Notebook,2020-11-17,2020-11-17,6.5,False,https://github.com/dhyanshah/ML_Archive,0,
Capstone_A_B,No description,0,0,0,Jupyter Notebook,2020-01-27,2020-11-17,48.0,False,https://github.com/dhyanshah/Capstone_A_B,0,
DataViz,No description,0,0,0,Jupyter Notebook,2020-11-17,2020-11-17,0.3,False,https://github.com/dhyanshah/DataViz,0,
NLP,7337 Natural Language Processing,0,0,0,Jupyter Notebook,2020-02-19,2020-11-17,0.4,False,https://github.com/dhyanshah/NLP,0,
MS7333_QTW,No description,1,0,0,HTML,2020-05-06,2020-09-23,80.3,False,https://github.com/dhyanshah/MS7333_QTW,1,
TimeSeries,No description,0,0,0,R,2020-03-15,2020-04-09,12.9,False,https://github.com/dhyanshah/TimeSeries,0,
DB,No description,0,0,0,Unknown,2020-02-19,2020-02-19,0.1,False,https://github.com/dhyanshah/DB,0,
ML-I-II,No description,0,0,0,Jupyter Notebook,2020-02-19,2020-02-19,13.4,False,https://github.com/dhyanshah/ML-I-II,0,
Business-Analytics,No description,0,0,0,Jupyter Notebook,2020-02-19,2020-02-19,0.2,False,https://github.com/dhyanshah/Business-Analytics,0,
Stat2Proj2,No description,0,0,0,HTML,2019-07-23,2019-08-18,4.9,False,https://github.com/dhyanshah/Stat2Proj2,0,
SMU_MSDS_6306_HW,No description,0,0,0,HTML,2019-01-26,2019-02-11,0.7,False,https://github.com/dhyanshah/SMU_MSDS_6306_HW,0,
